farge;diameter;rett løft;snaret løft;u-løft;u-løft vinkel;direkte (15-45);snaret (15-45);direkte (46-60);snaret (46-60);direkte (15-45);snaret (15-45);direkte (46-60);snaret (46-60)
Fiolett;20;1.0;0.8;2.0;1.7;1.4;1.1;1.0;0.8;2.1;1.6;1.5;1.2
Grønn;20;2.0;1.6;4.0;3.4;2.8;2.2;2.0;1.6;4.2;3.3;3.0;2.4
Gul;30;3.0;2.4;6.0;5.1;4.2;3.3;3.0;2.4;6.3;5.0;4.5;3.6
Grå;40;4.0;3.2;8.0;6.8;5.6;4.4;4.0;3.2;8.4;6.7;6.0;4.8
Rød;50;5.0;4.0;10.0;8.5;7.0;5.6;5.0;4.0;10.5;8.4;7.5;6.0
Brun;60;6.0;4.8;12.0;10.2;8.4;6.7;6.0;4.8;12.6;10.0;9.0;7.2
Blå;80;8.0;6.4;16.0;13.6;11.2;8.9;8.0;6.4;16.8;13.4;12.0;9.6
Oransje;80;10.0;8.0;20.0;17.0;14.0;11.2;10.0;8.0;21.0;16.8;15.0;12.0
Oransje;115;15.0;12.0;30.0;25.5;21.0;16.8;15.0;12.0;31.5;25.2;22.5;18.0
Oransje;120;20.0;16.0;40.0;34.0;28.0;22.4;20.0;16.0;42.0;33.6;30.0;24.0
Oransje;125;25.0;20.0;50.0;42.5;35.0;28.0;25.0;20.0;52.5;42.0;37.5;30.0
Oransje;130;30.0;24.0;60.0;51.0;42.0;33.6;30.0;24.0;63.0;50.4;45.0;36.0
Oransje;140;40.0;32.0;80.0;68.0;56.0;44.8;40.0;32.0;84.0;67.2;60.0;48.0