diameter;anbefalt diameter;rett løft;snaret løft;u-løft;u-løft vinkel;direkte (15-45);snaret (15-45);direkte (46-60);snaret (46-60);direkte (15-45);snaret (15-45);direkte (46-60);snaret (46-60)
8;48;0.7;0.5;1.4;1.1;0.9;0.7;0.7;0.5;1.5;1.2;1.0;0.8
10;60;1.0;0.8;2.1;1.7;1.5;1.2;1.0;0.8;2.2;1.8;1.6;1.2
12;72;1.5;1.2;3.0;2.6;2.1;1.7;1.5;1.2;3.3;2.6;2.3;1.8
14;84;2.1;1.7;4.2;3.6;3.0;2.4;2.1;1.7;4.3;3.4;3.1;2.5
16;96;2.7;2.1;5.4;4.6;3.8;3.0;2.7;2.1;5.6;4.5;4.2;3.3
18;108;3.4;2.7;6.8;5.7;4.8;3.8;3.4;2.7;7.2;5.7;5.2;4.1
20;120;4.3;3.4;8.7;7.4;6.0;4.8;4.3;3.4;9.0;7.2;6.5;5.2
22;132;5.2;4.1;10.4;8.8;7.2;5.7;5.2;4.1;11.0;8.8;7.8;6.2
24;144;6.3;5.0;12.6;10.7;8.8;7.0;6.3;5.0;13.5;10.8;9.4;7.5
26;156;7.2;5.7;14.4;12.2;10.0;8.0;7.2;5.7;15.0;12.0;11.0;8.8
28;168;8.4;6.7;16.8;14.2;11.8;9.4;8.4;6.7;18.0;14.4;12.5;10.0
32;192;11.0;8.8;22.0;18.7;15.0;12.0;11.0;8.8;23.5;18.8;16.5;13.2